#,DBMS,Submitted,Classification,Link,,Brief Summary,SCOTT schema,,,TPC-H schema,,
,,,,,Notes,,Q1,Q2,time difference,Q1,Q2,time difference
25,CockroachDB,Yes,Pending,https://github.com/cockroachdb/cockroach/issues/73628,"The developers asked us to reproduce this issue on the latest version of the DBMS, so we just updated the report and are waiting for feedback.
",suboptimal behavior related to the GROUP BY and LIMIT operator,"SELECT ""ename""
   FROM
     (SELECT ""ename""
      FROM ""emp""
      WHERE ""empno"" - 67 > 2801
        OR ""ename"" LIKE ' La%'
      GROUP BY ""ename"" FETCH NEXT 18 ROWS ONLY) AS ""t53""
WHERE ""ename"" NOT LIKE 'mlmhwzbjc' FETCH NEXT 8 ROWS ONLY;","SELECT *
FROM
  (SELECT *
   FROM (
         VALUES (NULL)) AS ""t"" (""c_4910"")
   WHERE 1 = 0
   UNION SELECT ""ename""
   FROM ""emp""
   WHERE ""empno"" - 67 > 2801
     OR ""ename"" LIKE ' La%'
   GROUP BY ""ename"" FETCH NEXT 18 ROWS ONLY) AS ""t71""
WHERE ""c_4910"" NOT LIKE 'mlmhwzbjc' FETCH NEXT 8 ROWS ONLY",16.3,NA,NA,NA
26,PostgreSQL,Yes,"Unconfirmed (Future/missing optimization, Fixed, Previously Known), Unique",https://www.postgresql.org/message-id/CAApHDvqKE2MLsQidBtY8AaM%2BJ9VWN5uct3dQ92HnfDKzc4f%3DcQ%40mail.gmail.com,"The developers did not confirm that this was an actual bug, but they have a fix for it in the works.",suboptimal behavior related to the GROUP BY operator (remove unnecessary distinct on unique tuples),"SELECT ""empno""
FROM   ""emp""
WHERE  empno > 100;  ","SELECT ""empno""
FROM   ""emp""
WHERE  empno > 100
GROUP  BY empno;",2.9,"SELECT ""s_suppkey"" 
FROM   ""supplier"" 
WHERE  s_suppkey > 100;  ","SELECT ""s_suppkey"" 
FROM   ""supplier"" 
WHERE  s_suppkey > 100 
GROUP  BY s_suppkey;",2.5
27,PostgreSQL,Yes,"Unknown, Unique",https://www.postgresql.org/message-id/16635-b06e1ff6be5a1975@postgresql.org,,suboptimal behavior related to the UNION operator,"SELECT ""ename""
FROM   ""emp""
UNION
SELECT ""job""
FROM   ""emp"";","select ename
from (SELECT ""ename""
FROM   ""emp""
UNION ALL
SELECT ""job""
FROM   ""emp"") as t6
group by ename;",2,"SELECT ""o_orderstatus"", 
       ""o_clerk"", 
       ""o_comment"" 
FROM   ""orders"" 
WHERE  ""o_orderstatus"" LIKE '%' 
                            || 'F' 
UNION 
SELECT ""o_orderstatus"", 
       ""o_clerk"", 
       ""o_comment"" 
FROM   ""orders"";    ","SELECT ""o_orderstatus"", 
       ""o_clerk"", 
       ""o_comment"" 
FROM   (SELECT ""o_orderstatus"", 
               ""o_clerk"", 
               ""o_comment"" 
        FROM   ""orders"" 
        WHERE  ""o_orderstatus"" LIKE '%' 
                                    || 'F' 
        UNION ALL 
        SELECT ""o_orderstatus"", 
               ""o_clerk"", 
               ""o_comment"" 
        FROM   ""orders"") AS ""t6"" 
GROUP  BY ""o_orderstatus"", 
          ""o_clerk"", 
          ""o_comment""; ",2.7
28,PostgreSQL,Yes,"Unconfirmed (Future/missing optimization), Not Fixed, Unique",https://www.postgresql.org/message-id/CAApHDvrAgN4APYrsoMGoAhps6zsa2SEom5QW%2BO-ZqEpjggm-6w%40mail.gmail.com,,suboptimal behavior related to the DISTINCT operator,"SELECT DISTINCT dept.name,
                d1.bonus_sal,
                dept.deptno
FROM
  (SELECT bonus.sal AS bonus_sal
   FROM bonus
   WHERE (bonus.ename LIKE '%' || 'Mixon')
     OR bonus.sal > 5880) AS d1
LEFT OUTER JOIN dept ON TRUE
WHERE (dept.deptno * 47) <= 4013
LIMIT 13
","SELECT ""dept9"".""name"",
       ""t63"".""sal"" AS ""bonus_sal"",
       ""dept9"".""deptno""
FROM
  (SELECT ""sal""
   FROM ""bonus""
   WHERE ""ename"" LIKE '%' || 'Mixon'
     OR ""sal"" > 5880) AS ""t63""
LEFT JOIN ""dept"" AS ""dept9"" ON TRUE
WHERE ""dept9"".""deptno"" * 47 <= 4013
GROUP BY ""dept9"".""name"",
         ""t63"".""sal"",
         ""dept9"".""deptno"" FETCH NEXT 13 ROWS ONLY",2.3,"SELECT DISTINCT d0.lineitem_l_shipmode 
FROM            ( 
                       SELECT lineitem.l_shipmode AS lineitem_l_shipmode 
                       FROM   lineitem 
                       WHERE  lineitem.l_shipinstruct IS distinct 
                       FROM   'COLLECT COD              ') AS d0 
WHERE           d0.lineitem_l_shipmode IS DISTINCT 
FROM            'MAIL'","SELECT   d0.lineitem_l_shipmode 
FROM     ( 
                SELECT lineitem.l_shipmode AS lineitem_l_shipmode 
                FROM   lineitem 
                WHERE  lineitem.l_shipinstruct IS distinct 
                FROM   'COLLECT COD              ') AS d0 
WHERE    d0.lineitem_l_shipmode IS DISTINCT 
FROM     'MAIL' 
GROUP BY d0.lineitem_l_shipmode",3.1
29,PostgreSQL,Yes,"Unconfirmed (Future/missing optimization), Not Fixed, Unique",https://www.postgresql.org/message-id/CAMbWs4-1wY4WZtvcb-oRwL_03KRuUE8MaNza52Ytf5GU7dEMzg%40mail.gmail.com,"Although the developers did not acknowledge the issue, they do confirm that it is due to a missing optimization rule.",suboptimal behavior related to the INNER JOIN operator,"SELECT     *
FROM       (
                  SELECT *
                  FROM   bonus
                  WHERE  sal = 752) AS ""t37""
INNER JOIN
           (
                  SELECT *
                  FROM   emp
                  WHERE  ""empno"" + 77 <= 1100000
                  AND    ""ename"" LIKE '%') AS ""t38""
ON         ""t38"".""empno"" - 177 < ""t37"".sal FETCH next 100 rows
only","SELECT     *
FROM       (
                  SELECT *
                  FROM   bonus
                  WHERE  sal = 752) AS ""t37""
INNER JOIN
           (
                  SELECT *
                  FROM   emp
                  WHERE  ""empno"" + 77 <= 1100000
                  AND    ""ename"" LIKE '%') AS ""t38""
ON         ""t38"".""empno"" - 177 < 752 FETCH next 100 rows only",10.5,"SELECT     * 
FROM       ( 
                  SELECT * 
                  FROM   ""partsupp"" 
                  WHERE  ""ps_suppkey"" = 752) AS ""t37"" 
INNER JOIN 
           ( 
                  SELECT * 
                  FROM   ""part"" 
                  WHERE  ""p_partkey"" + 77 <= 1 
                  AND    ""p_brand"" LIKE '%%  ') AS ""t38"" 
ON         ""t38"".""p_partkey"" - 177 < ""t37"".""ps_suppkey"" FETCH next 1 rows
only","SELECT     * 
FROM       ( 
                  SELECT * 
                  FROM   ""partsupp"" 
                  WHERE  ""ps_suppkey"" = 752) AS ""t37"" 
INNER JOIN 
           ( 
                  SELECT * 
                  FROM   ""part"" 
                  WHERE  ""p_partkey"" + 77 <= 1 
                  AND    ""p_brand"" LIKE '%%  ') AS ""t38"" 
ON         ""t38"".""p_partkey"" - 177 < 752 FETCH next 1 rows only",3.1
30,PostgreSQL,Yes,"Unconfirmed (Future/missing optimization), Not Fixed, Unique",https://www.postgresql.org/message-id/3821998.1614093133%40sss.pgh.pa.us,,suboptimal behavior related to the GROUP BY operator (aggregate merge),"SELECT ""ename""
FROM (SELECT ""ename""
FROM ""emp""
WHERE ""ename"" NOT LIKE '13-750-942-6364'
GROUP BY ""ename"", ""sal"") AS ""t2""
GROUP BY ""ename"";","SELECT ""ename""
FROM ""emp""
WHERE ""ename"" NOT LIKE '13-750-942-6364'
GROUP BY ""ename"";",3.1,"SELECT   ""t13"".""c_acctbal"" 
FROM     ( 
                    SELECT     ""t11"".""o_comment"", 
                               ""t12"".""c_nationkey"", 
                               ""t12"".""c_acctbal"" 
                    FROM       ( 
                                      SELECT * 
                                      FROM   ""orders"" 
                                      WHERE  ""o_orderstatus"" = 'F') AS ""t11""



                    INNER JOIN 
                               ( 
                                      SELECT * 
                                      FROM   ""customer"" 
                                      WHERE  ""c_nationkey"" <= 4 
                                      AND    ""c_name"" =
'Customer#000000005') AS ""t12"" 
                    ON         ""t11"".""o_custkey"" > ""t12"".""c_custkey"" 
                    GROUP BY   ""t11"".""o_comment"", 
                               ""t12"".""c_nationkey"", 
                               ""t12"".""c_acctbal"") AS ""t13"" 
GROUP BY ""t13"".""c_acctbal"" offset 8 rowsFETCH next 18 rows only ","SELECT     ""t23"".""c_acctbal"" 
FROM       ( 
                  SELECT * 
                  FROM   ""orders"" 
                  WHERE  ""o_orderstatus"" = 'F') AS ""t22"" 
INNER JOIN 
           ( 
                  SELECT * 
                  FROM   ""customer"" 
                  WHERE  ""c_nationkey"" <= 4 
                  AND    ""c_name"" = 'Customer#000000005') AS ""t23"" 
ON         ""t22"".""o_custkey"" > ""t23"".""c_custkey"" 
GROUP BY   ""t23"".""c_acctbal"" offset 8 rowsFETCH next 18 rows only

",3.8
31,PostgreSQL,Yes,"Unconfirmed (Future/missing optimization), Not Fixed, Unique",https://www.postgresql.org/message-id/CAApHDvqxFMOu-2M0mGsYLXt_b5Ptqti8ceMkeOePhwrULF4vXA%40mail.gmail.com,The developers recommended that we simplify the queries and make them more realistic.,suboptimal behavior related to the LEFT JOIN and ORDER operator,"select empno, ename, job, mgr
from (select * from emp) as t1 left join dept on true 
order by t1.sal limit 14;","select empno, ename, job, mgr
from (select ename from emp order by sal limit 14) as t1 left join dept on true 
order by t1.sal limit 14;",555.6,"SELECT    ""orders3"".""o_comment"", 
          ""orders3"".""o_orderstatus"", 
          ""orders3"".""o_orderkey"", 
          ""t17"".""ps_partkey"", 
          ""t17"".""ps_supplycost"", 
          ""t17"".""ps_comment"", 
          ""orders3"".""o_clerk"", 
          ""orders3"".""o_totalprice"", 
          ""t17"".""ps_availqty"", 
          ""t17"".""ps_suppkey"" 
FROM      ( 
                 SELECT * 
                 FROM   ""partsupp"" 
                 WHERE  ""ps_comment"" LIKE ', even theodolites. regular, final theodolites eat after the carefully pending foxes. furiously regular deposits sleep slyly. carefully bold realms above the ironic dependencies haggle careful') AS ""t17""
LEFT JOIN ""orders""                                                                                                                                                                                                        AS ""orders3""
ON        true 
ORDER BY  ""t17"".""ps_supplycost""FETCH next 14 rows only","SELECT    ""orders3"".""o_comment"", 
          ""orders3"".""o_orderstatus"", 
          ""orders3"".""o_orderkey"", 
          ""t17"".""ps_partkey"", 
          ""t17"".""ps_supplycost"", 
          ""t17"".""ps_comment"", 
          ""orders3"".""o_clerk"", 
          ""orders3"".""o_totalprice"", 
          ""t17"".""ps_availqty"", 
          ""t17"".""ps_suppkey"" 
FROM      ( 
                   SELECT   * 
                   FROM     ""partsupp"" 
                   WHERE    ""ps_comment"" LIKE ', even theodolites. regular, final theodolites eat after the carefully pending foxes. furiously regular deposits sleep slyly. carefully bold realms above the ironic dependencies haggle careful'
                   ORDER BY ""ps_supplycost""FETCH next 14 rows only) AS ""t17"" 
LEFT JOIN ""orders""                          AS ""orders3"" 
ON        true 
ORDER BY  ""t17"".""ps_supplycost""FETCH next 14 rows only",24
32,PostgreSQL,Yes,"Unconfirmed (False Positive), Unique",https://www.postgresql.org/message-id/CAMbWs4-p-j04L7AHzEnMhknG0W-bZdB8k26x88b2Zd8S%2BNsdpQ%40mail.gmail.com,,suboptimal behavior related to string comparison,"SELECT emp.slacker,
       2333 AS c_3812,
       emp.deptno
FROM emp
FULL OUTER JOIN bonus ON bonus.sal >= emp.empno
WHERE bonus.ename IS NOT DISTINCT
  FROM ' Annamaria Mixon'
  AND emp.comm < 71
LIMIT 18
","SELECT ""emp2"".""slacker"",
       2333 AS ""c_3812"",
       ""emp2"".""deptno""
FROM ""emp"" AS ""emp2""
FULL JOIN ""bonus"" AS ""bonus2"" ON ""emp2"".""empno"" <= ""bonus2"".""sal""
WHERE (""bonus2"".""ename"" IS NULL
       AND ' Annamaria Mixon' IS NULL
       OR ""bonus2"".""ename"" = ' Annamaria Mixon' IS TRUE)
  AND ""emp2"".""comm"" < 71 FETCH NEXT 18 ROWS ONLY",4.7,"SELECT          nation.n_name AS n_name 
FROM            partsupp 
LEFT OUTER JOIN nation 
ON   true 
WHERE           nation.n_name IS NOT distinct FROM 'ALGERIA';  ","SELECT nation.n_name AS n_name 
FROM   partsupp 
       LEFT OUTER JOIN nation 
                    ON true 
WHERE  nation.n_name = 'ALGERIA'; ",16.4
33,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to the GROUP BY and JOIN,"SELECT dept.deptno
FROM emp
RIGHT JOIN dept ON emp.deptno = dept.deptno
GROUP BY dept.deptno","SELECT deptno
FROM dept",33,N/A,N/A,N/A
34,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
","suboptimal behavior related to the INNER JOIN, UNION","SELECT *
FROM
  (SELECT deptno
   FROM emp
   WHERE deptno < 400) AS t0
INNER JOIN
  (SELECT deptno
   FROM emp
   WHERE deptno > 700
   UNION ALL SELECT deptno
   FROM emp) AS t400 ON t0.deptno = t400.deptno","SELECT *
FROM
  (SELECT deptno
   FROM emp
   WHERE deptno < 400) AS t6
INNER JOIN
  (SELECT *
   FROM
     (SELECT deptno
      FROM emp
      WHERE deptno > 700
      UNION ALL SELECT deptno
      FROM emp) AS t10
   WHERE deptno < 400) AS t11 ON t6.deptno = t11.deptno",3.2,N/A,N/A,N/A
35,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to aggregate function and DISTINCT,"SELECT Count(DISTINCT( bonus.job )) AS c_1532
FROM   bonus
WHERE  bonus.job NOT LIKE 'Director o'
       AND bonus.comm > 7
        OR ( bonus.job LIKE '%'
                            || 'anc'
                            || '%' )
GROUP  BY bonus.comm,
          bonus.ename; ","SELECT COUNT(""job"") AS ""c_1532""
FROM
  (SELECT ""ename"",
          ""job"",
          ""comm""
   FROM
     (SELECT ""ename"",
             ""job"",
             ""comm""
      FROM ""bonus"") AS ""t25""
   WHERE ""comm"" > 7
     AND NOT ""job"" LIKE 'Director o'
     OR ""job"" LIKE '%anc%'
   GROUP BY ""ename"",
            ""job"",
            ""comm"") AS ""t27""
GROUP BY ""ename"",
         ""comm""",1.9,N/A,N/A,N/A
36,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to timestamp and aggregate function,"SELECT 2333, ""ename""
FROM ""emp""
WHERE EXTRACT(YEAR
              FROM ""hiredate"") >= 2016
  OR (""empno"" * 52 <= 1362
      OR ""ename"" LIKE ' Lue Mahula')
GROUP BY ""comm"",
         ""ename"",
         ""job"" FETCH NEXT 13 ROWS ONLY","SELECT 2333,""ename""
FROM ""emp""
WHERE ""hiredate"" >= TIMESTAMP '2016-01-01 00:00:00'
  OR (""empno"" * 52 <= 1362
      OR ""ename"" LIKE ' Lue Mahula')
GROUP BY ""comm"",
         ""ename"",
         ""job"" FETCH NEXT 13 ROWS ONLY",1.8,N/A,N/A,N/A
37,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to the LEFT JOIN,"SELECT ""t35"".""deptno"",
       ""t35"".""name""
FROM
  (SELECT ""t34"".""deptno"" AS ""dept_deptno"",
          ""dept21"".""deptno"",
          ""dept21"".""name""
   FROM
     (SELECT *
      FROM ""dept""
      WHERE ""name"" LIKE '%' || '2' || '%'
        AND ""deptno"" < 2541) AS ""t34""
   LEFT JOIN ""dept"" AS ""dept21"" ON TRUE) AS ""t35""
WHERE (""t35"".""dept_deptno"" + 60 > 9571
       AND ""t35"".""dept_deptno"" >= 2739
       OR ""t35"".""deptno"" < 2739)
  AND ""t35"".""name"" NOT IN
    (SELECT 'literal col string' AS ""c_3011""
     FROM ""dept""
     WHERE ""name"" LIKE '%' || '2')","SELECT ""t35"".""deptno"",
       ""t35"".""name""
FROM   (SELECT ""t34"".""deptno"" AS ""dept_deptno"",
               ""dept21"".""deptno"",
               ""dept21"".""name""
        FROM   (SELECT *
                FROM   ""dept""
                WHERE  ""name"" LIKE '%'
                                   || '2'
                                   || '%'
                       AND ""deptno"" < 2541) AS ""t34""
               LEFT JOIN ""dept"" AS ""dept21""
                      ON true) AS ""t35""
WHERE  ( ""t35"".""deptno"" < 2739 )
       AND ""t35"".""name"" NOT IN (SELECT 'literal col string' AS ""c_3011""
                                FROM   ""dept""
                                WHERE  ""name"" LIKE '%'
                                                   || '2'); ",6.8,N/A,N/A,N/A
38,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to SET operation,"SELECT dt.name
FROM (
        (SELECT 2333 AS c_4800,
                dept.name
         FROM dept
         WHERE dept.name NOT LIKE '02'
         )
      EXCEPT ALL
        (SELECT dept.deptno,
                'literal col string' AS c_4357
         FROM dept
         WHERE (dept.name LIKE '%' || 'KXI')
           AND dept.name LIKE 'JK1'
         )) AS dt
WHERE dt.name LIKE '04'
  OR (dt.c_4800 + 53) <= 941
LIMIT 2","SELECT dt.name
FROM (
        (SELECT 2333 AS c_4800,
                dept.name
         FROM dept
         WHERE dept.name NOT LIKE '02' and name LIKE '04' or 2333 + 53 <= 941
         )
      EXCEPT ALL
        (SELECT dept.deptno,
                'literal col string' AS c_4357
         FROM dept
         WHERE (dept.name LIKE '%' || 'KXI')
           AND dept.name LIKE 'JK1'
         and name LIKE '04' or deptno + 53 <= 941)) AS dt
LIMIT 2",2.2,N/A,N/A,N/A
39,PostgreSQL,Waiting for authorization to edit Wiki page,Pending,N/A,"The developers recommended that we report these issues as a Wiki page that describes the potential performance bugs as future/missing optimizations. We are currently waiting to receive the authorization to publish that page on the official PostgreSQL Wiki.
",suboptimal behavior related to aggregate function and DISTINCT,"SELECT max(distinct('literal col string')) AS c_1351,
       2333 AS c_1528,
       2333 AS c_2188
FROM bonus
WHERE (bonus.sal - 5) < 7049
  OR (bonus.ename LIKE '%' || 'elko' || '%')
GROUP BY bonus.job,
         bonus.sal,
         bonus.sal","SELECT MAX('literal col string') AS ""c_1351"",
       2333 AS ""c_1528"",
       2333 AS ""c_2188""
FROM ""bonus""
WHERE ""sal"" - 5 < 7049
  OR ""ename"" LIKE '%elko%'
GROUP BY ""job"",
         ""sal""",3.2,N/A,N/A,N/A
